c;v;market;group;industry
Soluciones Cuatroochenta SA;480S;XMAD;Software;Software - Application
Squirrel Media SA;SQRL;XMAD;Software;Information Technology Services
Substrate Artificial Inteligence SA;SAI;XMAD;Software;Software - Infrastructure
Talgo SA;TLGO;XMAD;Transportation;Railroads
Tander Inversiones Socimi SA;YTAN;XMAD;REITs;REIT - Retail
Tarjar Xairo SOCIMI SA;YTAR;XMAD;REITs;REIT - Diversified
Tecnicas Reunidas SA;TRE;XMAD;Construction;Engineering & Construction
Telefonica SA;TEF;XMAD;Telecommunication Services;Telecom Services
Testa Residencial Socimi SA;YTST;XMAD;REITs;REIT - Diversified
Tier1 Technology SA;TR1;XMAD;Software;Information Technology Services
Torimbia Socimi SA;YTRM;XMAD;REITs;REIT - Diversified
Trajano Iberia SOCIMI SA;YTRA;XMAD;REITs;REIT - Retail
Trivium Real Estate Socimi SA;YTRI;XMAD;REITs;REIT - Retail
Tubacex SA;TUB;XMAD;Steel;Steel
Tubos Reunidos SA;TRG;XMAD;Steel;Steel
Tv Azteca SAB de CV;XTZA;XMAD;Media - Diversified;Broadcasting
Unicaja Banco SA;UNI;XMAD;Banks;Banks - Regional
Urban View Development Spain Socimi SA;MABX;XMAD;REITs;REIT - Residential
Urbas Grupo Financiero SA;UBS;XMAD;Construction;Engineering & Construction
Uro Property Holdings SA;URO;XMAD;REITs;REIT - Diversified
Vale SA;XVALO;XMAD;Metals & Mining;Other Industrial Metals & Mining
Vanadi Coffee SA;VANA;XMAD;Restaurants;Restaurants
VBARE Iberian Properties SOCIMI SA;YVBA;XMAD;REITs;REIT - Residential
Veracruz Properties Socimi SA;YVCP;XMAD;REITs;REIT - Diversified
Vidrala SA;VID;XMAD;Packaging & Containers;Packaging & Containers
Viscofan SA;VIS;XMAD;Packaging & Containers;Packaging & Containers
Vitruvio Real Estate SOCIMI SA;YVIT;XMAD;REITs;REIT - Diversified
Vivenio Residencial Socimi SA;YVIV;XMAD;REITs;REIT - Residential
Vocento SA;VOC;XMAD;Media - Diversified;Publishing
Volcan Compania Minera SAA;XVOLB;XMAD;Metals & Mining;Other Industrial Metals & Mining
Zambal Spain SOCIMI SA;YZBL;XMAD;REITs;REIT - Diversified
Zardoya Otis SA;ZOT;XMAD;Industrial Products;Specialty Industrial Machinery
